x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,y
220652.91555363234,224953.15832385287,228663.9299950366,233223.76236809813,238696.89285930918,242999.41816484253,246380.21015718082,248792.3410468067,249703.81539151986,245914.64938728968,239383.37105164464,232466.5301390976,227095.96042698977,223077.63177180104,221503.16959573148,220922.74935423007,237701.56969889198,225058.46497849192,226067.11313434504,238712.01077864866,1
221082.55985893167,225534.15923110975,229378.00254177355,234052.76127880014,239568.47635484557,243856.34242515406,247268.4404116698,249778.98504268122,250738.31476836972,246955.65282754827,240363.69322707606,233330.26718550085,227813.45476927227,223651.0829338982,221971.02796747713,221342.67994339042,237860.1878620614,224910.280571871,226012.8129243668,238994.75665401583,1
222024.47034570127,226286.60134538592,229965.3307482572,234502.272140265,239958.81462662184,244334.4223818471,247893.26057853777,250502.85920919178,251513.4288581642,247744.64814627348,241185.31146197242,234195.27378040252,228700.9490977745,224552.55342725877,222885.8848328521,222278.75568984245,238124.49453597396,225688.87114312375,227033.6894328011,239498.9462921586,1
222308.59111042455,226606.79212146206,230325.04189682612,234871.29018207043,240313.19446878642,244634.12600402636,248096.41106090476,250612.08627810137,251586.8179454426,247867.19635050857,241421.1370551733,234530.60944278905,229117.40396993174,225001.51804769074,223288.94559234413,222621.06758592636,238211.5063598356,226071.84202335874,227313.33881618097,239484.53310659088,1
222582.51132522846,226822.82441525813,230499.2836529962,235031.70922891135,240488.9788846525,244810.3531184387,248245.6114662739,250730.84773775455,251689.68791551728,247944.63703103273,241519.37710018246,234690.50694384563,229337.86971187865,225270.83492435727,223571.85919496382,222901.74078390733,238342.62960709474,226242.86783607773,227436.29203167083,239564.73666638977,1
223039.21374005676,227347.33625617842,231075.76150839296,235656.6596743974,241149.65426539216,245530.42921881028,249058.21162422726,251626.3052399381,252629.7372355302,248884.8870340199,242375.03460678767,235427.61419594527,229971.6357544206,225803.97874963155,224058.18039193546,223370.26859875486,239075.57531887136,226771.55966798423,228108.53049970345,240452.72017073317,1
223229.43704575946,227499.9346109041,231191.3995566144,235747.81122767163,241236.46214002292,245639.88825682513,249201.8369788429,251794.911850638,252815.19582440736,249067.78721071986,242574.0912472314,235637.77882822024,230162.958996722,225976.17562610138,224223.4588724923,223546.57542153692,239089.7578729252,226917.47958883824,228160.40660735834,240362.2058037236,1
223532.6375082529,227767.06490446941,231424.74781211675,235934.40140207452,241360.9363316169,245704.91195401445,249218.84332866993,251781.85128803144,252800.4412419449,249128.92436561227,242775.44351045677,235967.823425149,230562.2831385108,226385.71325988008,224595.92498201886,223883.31141316798,239117.05131492412,226974.0106259235,228136.35695079883,240300.39513683124,1
223529.51560257853,227819.03965291404,231538.2958153833,236076.13032331542,241503.10729147505,245788.7661179949,249203.57180960194,251676.13820981316,252653.58429792427,249002.1536560434,242698.34505517452,235949.56074295583,230608.73071919018,226466.04055855947,224662.32253959362,223914.66943845016,239185.9110851442,227190.22495488162,228374.36107223397,240410.82088586132,1
223915.9529837593,228229.0428237097,231959.30660687128,236494.40448703093,241862.90642588306,246066.03983649221,249425.67809587682,251889.6679776006,252861.53440114134,249195.38030231438,242816.39315058355,236042.92652327532,230743.13379705558,226667.88041520113,224936.8918691275,224251.0945846021,239323.35216990986,227208.09435121226,228395.37801521816,240553.45205595382,1
223491.49336952931,227750.02410133637,231440.6329545342,235964.65786017262,241345.1426714346,245549.19120156174,248868.48663834727,251284.6132901974,252236.68593829274,248578.26474197255,242328.29296333593,235646.31388021872,230352.28416303254,226254.6746517451,224525.06030578335,223834.01968809127,238929.86744863266,226972.30044593476,228169.93546411622,240159.10956116396,1
